Source,Target,Weight
"""pure mathematics""","""analytic geometry""",1
"""real analysis""","""analytic geometry""",1
"""set theory""","""analytic geometry""",1
"""spherical geometry""","""analytic geometry""",1
"""spherical trigonometry""","""analytic geometry""",1
"""symplectic geometry""","""analytic geometry""",1
"""synthetic geometry""","""analytic geometry""",1
"""tensor""","""analytic geometry""",4
"""theoretical physics""","""analytic geometry""",1
"""trigonometry""","""analytic geometry""",5
"""vector algebra""","""analytic geometry""",1
"""abstract algebra""","""analytic number theory""",2
"""actuarial science""","""analytic number theory""",1
"""additive number theory""","""analytic number theory""",3
"""algebra""","""analytic number theory""",16
"""algebraic geometry""","""analytic number theory""",3
"""algebraic number theory""","""analytic number theory""",1
"""algebraic topology""","""analytic number theory""",1
"""analysis""","""analytic number theory""",24
"""applied mathematics""","""analytic number theory""",1
"""arithmetic""","""analytic number theory""",16
"""axiomatic set theory""","""analytic number theory""",1
"""calculus""","""analytic number theory""",6
"""calculus of variations""","""analytic number theory""",2
"""chaos theory""","""analytic number theory""",1
"""class field theory""","""analytic number theory""",2
"""classical differential geometry""","""analytic number theory""",1
"""classical geometry""","""analytic number theory""",1
"""classical mathematics""","""analytic number theory""",1
"""commutative algebra""","""analytic number theory""",2
"""complex analysis""","""analytic number theory""",8
"""conformal geometry""","""analytic number theory""",1
"""differential calculus""","""analytic number theory""",1
"""differential geometry""","""analytic number theory""",5
"""differential geometry of surfaces""","""analytic number theory""",1
"""differential topology""","""analytic number theory""",1
"""diophantine geometry""","""analytic number theory""",1
"""elementary mathematics""","""analytic number theory""",1
"""exterior algebra""","""analytic number theory""",1
"""field theory""","""analytic number theory""",3
"""function theory""","""analytic number theory""",2
"""functional analysis""","""analytic number theory""",1
"""gauge theory""","""analytic number theory""",1
"""geometry""","""analytic number theory""",11
"""graph theory""","""analytic number theory""",5
"""group theory""","""analytic number theory""",2
"""harmonic analysis""","""analytic number theory""",2
"""infinitesimal analysis""","""analytic number theory""",2
"""infinitesimal calculus""","""analytic number theory""",1
"""integral calculus""","""analytic number theory""",1
"""invariant theory""","""analytic number theory""",3
"""large deviations theory""","""analytic number theory""",1
"""local class field theory""","""analytic number theory""",1
"""mathematical logic""","""analytic number theory""",2
"""mathematical physics""","""analytic number theory""",4
"""mathematical sciences""","""analytic number theory""",1
"""mathematical statistics""","""analytic number theory""",2
"""number theory""","""analytic number theory""",48
"""plane geometry""","""analytic number theory""",1
"""probability theory""","""analytic number theory""",3
"""probabilistic number theory""","""analytic number theory""",3
"""proof theory""","""analytic number theory""",1
"""pure mathematics""","""analytic number theory""",4
"""real analysis""","""analytic number theory""",2
"""recursion theory""","""analytic number theory""",1
"""representation theory""","""analytic number theory""",2
"""set theory""","""analytic number theory""",5
"""smooth infinitesimal analysis""","""analytic number theory""",1
"""solid geometry""","""analytic number theory""",1
"""spectral theory""","""analytic number theory""",3
"""statistical theory""","""analytic number theory""",1
"""statistics""","""analytic number theory""",2
"""tensor""","""analytic number theory""",4
"""theoretical physics""","""analytic number theory""",2
"""topology""","""analytic number theory""",5
"""trigonometry""","""analytic number theory""",1
"""absolute differential calculus""","""applied mathematics""",1
"""absolute geometry""","""applied mathematics""",1
"""abstract algebra""","""applied mathematics""",4
"""actuarial science""","""applied mathematics""",2
"""algebra""","""applied mathematics""",54
"""algebraic analysis""","""applied mathematics""",1
"""algebraic geometry""","""applied mathematics""",5
"""algebraic graph theory""","""applied mathematics""",1
"""algebraic topology""","""applied mathematics""",6
"""analysis""","""applied mathematics""",89
"""analytic geometry""","""applied mathematics""",3
"""analytic number theory""","""applied mathematics""",1
"""arithmetic""","""applied mathematics""",8
"""arithmetic geometry""","""applied mathematics""",1
"""axiomatic set theory""","""applied mathematics""",2
"""birational geometry""","""applied mathematics""",1
"""calculus""","""applied mathematics""",33
"""calculus of variations""","""applied mathematics""",8
"""chaos theory""","""applied mathematics""",2
"""class field theory""","""applied mathematics""",3
"""classical geometry""","""applied mathematics""",1
"""classical invariant theory""","""applied mathematics""",1
"""combinatorial topology""","""applied mathematics""",2
"""commutative algebra""","""applied mathematics""",2
"""complex analysis""","""applied mathematics""",11
"""complex dynamics""","""applied mathematics""",1
"""constructive mathematics""","""applied mathematics""",1
"""differential calculus""","""applied mathematics""",4
"""differential geometry""","""applied mathematics""",7
"""differential geometry of curves""","""applied mathematics""",1
"""dynamical systems theory""","""applied mathematics""",1
"""elementary mathematics""","""applied mathematics""",2
"""elimination theory""","""applied mathematics""",1
"""epidemiology""","""applied mathematics""",3
"""field theory""","""applied mathematics""",8
"""function theory""","""applied mathematics""",4
"""functional analysis""","""applied mathematics""",12
"""game theory""","""applied mathematics""",4
"""geometric algebra""","""applied mathematics""",3
"""geometric topology""","""applied mathematics""",2
"""geometry""","""applied mathematics""",42
"""graph theory""","""applied mathematics""",6
"""group theory""","""applied mathematics""",11
"""harmonic analysis""","""applied mathematics""",6
"""hyperbolic geometry""","""applied mathematics""",1
"""hyperbolic trigonometry""","""applied mathematics""",1
"""ideal theory""","""applied mathematics""",3
"""infinitesimal analysis""","""applied mathematics""",3
"""infinitesimal calculus""","""applied mathematics""",4
"""integral calculus""","""applied mathematics""",3
"""invariant theory""","""applied mathematics""",1
"""lattice theory""","""applied mathematics""",1
"""linear algebra""","""applied mathematics""",6
"""mathematical economics""","""applied mathematics""",2
"""mathematical logic""","""applied mathematics""",6
"""mathematical physics""","""applied mathematics""",27
"""mathematical statistics""","""applied mathematics""",8
"""matrix algebra""","""applied mathematics""",2
"""measure theory""","""applied mathematics""",7
"""microlocal analysis""","""applied mathematics""",2
"""modern algebra""","""applied mathematics""",1
"""noncommutative algebra""","""applied mathematics""",2
"""number theory""","""applied mathematics""",21
"""numerical analysis""","""applied mathematics""",12
"""order theory""","""applied mathematics""",1
"""perturbation theory""","""applied mathematics""",2
"""potential theory""","""applied mathematics""",8
"""probability theory""","""applied mathematics""",18
"""projective geometry""","""applied mathematics""",5
"""pure mathematics""","""applied mathematics""",19
"""rational geometry""","""applied mathematics""",1
"""real analysis""","""applied mathematics""",2
"""representation theory""","""applied mathematics""",4
"""representation theory of groups""","""applied mathematics""",1
"""ring theory""","""applied mathematics""",8
"""set theory""","""applied mathematics""",9
"""spherical geometry""","""applied mathematics""",1
"""statistical mechanics""","""applied mathematics""",4
"""statistical theory""","""applied mathematics""",3
"""statistics""","""applied mathematics""",28
"""stochastic process""","""applied mathematics""",5
"""symplectic geometry""","""applied mathematics""",2
"""synthetic geometry""","""applied mathematics""",1
"""tensor""","""applied mathematics""",9
"""theoretical physics""","""applied mathematics""",13
"""topology""","""applied mathematics""",18
"""trigonometry""","""applied mathematics""",4
"""universal algebra""","""applied mathematics""",3
"""vector algebra""","""applied mathematics""",1
"""vector analysis""","""applied mathematics""",2
"""vector calculus""","""applied mathematics""",1
"""algebra""","""approximation theory""",4
"""analysis""","""approximation theory""",22
"""calculus""","""approximation theory""",5
"""calculus of variations""","""approximation theory""",2
"""constructive function theory""","""approximation theory""",2
"""differential geometry""","""approximation theory""",1
"""function theory""","""approximation theory""",3
"""geometry""","""approximation theory""",1
"""probability theory""","""approximation theory""",3
"""statistics""","""approximation theory""",1
"""absolute geometry""","""arithmetic""",2
"""abstract algebra""","""arithmetic""",11
"""actuarial science""","""arithmetic""",1
"""additive number theory""","""arithmetic""",2
"""affine geometry""","""arithmetic""",2
"""algebra""","""arithmetic""",94
"""algebraic analysis""","""arithmetic""",1
"""algebraic geometry""","""arithmetic""",17
"""algebraic number theory""","""arithmetic""",7
"""algebraic topology""","""arithmetic""",4
"""analysis""","""arithmetic""",79
"""analytic combinatorics""","""arithmetic""",1
"""analytic geometry""","""arithmetic""",3
"""analytic number theory""","""arithmetic""",16
"""applied mathematics""","""arithmetic""",8
"""arithmetic geometry""","""arithmetic""",7
"""axiomatic set theory""","""arithmetic""",6
"""biostatistics""","""arithmetic""",1
"""calculus""","""arithmetic""",45
"""calculus of variations""","""arithmetic""",5
"""chaos theory""","""arithmetic""",1
"""class field theory""","""arithmetic""",5
"""classical geometry""","""arithmetic""",1
"""classical invariant theory""","""arithmetic""",1
"""classical mathematics""","""arithmetic""",1
"""combinatorial topology""","""arithmetic""",2
"""combinatorics""","""arithmetic""",15
"""commutative algebra""","""arithmetic""",4
"""complex analysis""","""arithmetic""",11
"""computer algebra""","""arithmetic""",1
"""conformal geometry""","""arithmetic""",1
"""cryptography""","""arithmetic""",4
"""descriptive set theory""","""arithmetic""",1
"""differential calculus""","""arithmetic""",7
"""differential geometry""","""arithmetic""",10
"""differential geometry of curves""","""arithmetic""",1
